Batch_ID,Formula_Type,Mixing_Temperature,Viscosity_cP,pH,Stability_Days
BATCH_071,Surfactant_Boosted,High_60C,2131.19,6.93,14
BATCH_072,Organic_Polymer,Low_35C,3120.5,6.32,20
BATCH_073,Organic_Polymer,High_60C,3495.13,6.3,11
BATCH_074,Organic_Polymer,Low_35C,3565.56,6.15,21
BATCH_075,Organic_Polymer,Low_35C,3392.08,6.4,18
BATCH_076,Organic_Polymer,High_60C,3630.57,6.38,17
BATCH_077,Organic_Polymer,Low_35C,3473.15,6.13,18
BATCH_078,Surfactant_Boosted,Low_35C,2304.02,6.59,19
BATCH_079,Surfactant_Boosted,Low_35C,2054.65,6.9,15
BATCH_080,Organic_Polymer,Low_35C,3292.77,6.39,21
BATCH_081,Surfactant_Boosted,High_60C,2473.9,7.01,9
BATCH_082,Standard,Low_35C,2373.38,6.45,15
BATCH_083,Organic_Polymer,High_60C,3610.45,6.45,16
BATCH_084,Standard,Low_35C,2508.15,6.84,15
BATCH_085,Standard,Low_35C,2435.21,6.78,16
BATCH_086,Organic_Polymer,Low_35C,3572.41,6.18,21
BATCH_087,Surfactant_Boosted,Low_35C,1882.07,7.02,16
BATCH_088,Standard,High_60C,2596.74,6.75,6
BATCH_089,Organic_Polymer,High_60C,3313.09,6.35,16
BATCH_090,Standard,Low_35C,2645.58,6.61,17
BATCH_091,Standard,Low_35C,2605.04,6.48,14
BATCH_092,Standard,High_60C,2757.67,6.64,8
BATCH_093,Standard,Low_35C,2551.14,6.49,15
BATCH_094,Surfactant_Boosted,Low_35C,2141.81,6.53,14
BATCH_095,Standard,Low_35C,2483.71,6.49,15
BATCH_096,Standard,High_60C,2845.35,6.83,11
BATCH_097,Standard,High_60C,2753.05,6.36,7
BATCH_098,Surfactant_Boosted,High_60C,2480.32,7.16,15
BATCH_099,Standard,Low_35C,2375.82,6.45,14
BATCH_100,Standard,Low_35C,2807.11,6.52,17
BATCH_101,Surfactant_Boosted,High_60C,2425.5,7.17,14
BATCH_102,Surfactant_Boosted,High_60C,2424.91,6.85,11
BATCH_103,Surfactant_Boosted,High_60C,2623.36,7.13,11
BATCH_104,Standard,High_60C,2748.65,6.34,13
BATCH_105,Surfactant_Boosted,Low_35C,2232.91,6.88,16
BATCH_106,Surfactant_Boosted,High_60C,2074.37,6.93,15
BATCH_107,Standard,Low_35C,2647.23,6.55,14
BATCH_108,Surfactant_Boosted,High_60C,2519.46,6.96,9
BATCH_109,Standard,Low_35C,2499.07,6.56,16
BATCH_110,Organic_Polymer,High_60C,3383.82,6.28,15
BATCH_111,Surfactant_Boosted,High_60C,2234.81,7.07,13
BATCH_112,Organic_Polymer,High_60C,3556.4,6.61,14
BATCH_113,Standard,High_60C,2733.0,6.53,8
BATCH_114,Surfactant_Boosted,Low_35C,2016.15,6.68,16
BATCH_115,Standard,High_60C,2808.62,6.26,10
BATCH_116,Organic_Polymer,Low_35C,3306.32,6.28,21
BATCH_117,Standard,Low_35C,2627.7,6.41,13
BATCH_118,Surfactant_Boosted,Low_35C,2186.93,6.82,14
BATCH_119,Surfactant_Boosted,Low_35C,2456.12,6.85,15
BATCH_120,Organic_Polymer,High_60C,3271.18,6.43,13
